nom, code_postal, latitude, longitude, variable_linguistique
Boissey,1380,46.3727973545,4.9989764059,-1
Bolozon,1450,46.1960338503,5.47095075411,0
Bouligneux,1330,46.0232774841,4.99252709276,1
Bourg-en-Bresse,1000,46.2051520382,5.24602125501,0
Bourg-en-Bresse,1000,46.2051520382,5.24602125501,0
Bourg-Saint-Christophe,1800,45.8861934456,5.14349196896,0
Bourg-Saint-Christophe,1800,45.8861934456,5.14349196896,0
Boyeux-Saint-Jérôme,1640,46.0363677631,5.46322744717,0
Boz,1190,46.4051688134,4.9135797178,0
Brégnier-Cordon,1300,45.6416854652,5.61653371,0
Brénaz,1260,45.9500082947,5.7371892334,0
Brénod,1110,46.0759940484,5.61418361314,0
Brens,1300,45.7135069062,5.68998154517,0
Bressolles,1360,45.869423064,5.1009428902,1
Bressolles,1360,45.869423064,5.1009428902,1
Brion,1460,46.1686327301,5.54656422194,0
Briord,1470,45.7708330939,5.48537461884,0
Buellas,1310,46.2104135162,5.14487465017,0
Buellas,1310,46.2104135162,5.14487465017,0
Burbanche,1510,45.8598709332,5.54609714598,0
Ceignes,1430,46.1256533435,5.49457379202,0
Cerdon,1450,46.0720202633,5.47577586118,0
Certines,1240,46.1337950959,5.26239539372,0
Cessy,1170,46.315689376,6.0779844362,-1
Ceyzériat,1250,46.1832170988,5.32007207542,1
Ceyzérieu,1350,45.8335530148,5.71933090966,1
Chalamont,1320,46.0076491739,5.16936568,1
Chaleins,1480,46.0340545373,4.79853838574,0
Chaley,1230,45.9533367734,5.53682505273,-1
Challes-la-Montagne,1450,46.1221539654,5.45755377201,0
Challex,1630,46.1768358327,5.97115092939,1
Champagne-en-Valromey,1260,45.9316447397,5.69321890072,-1
Champagne-en-Valromey,1260,45.9316447397,5.69321890072,-1
Champagne-en-Valromey,1260,45.9316447397,5.69321890072,-1
Champdor-Corcelles,1110,46.0198844188,5.60008759722,1
Champdor-Corcelles,1110,46.0198844188,5.60008759722,1
Champfromier,1410,46.220365768,5.82233573131,0
Chanay,1420,46.005695299,5.76893393185,-1
Chaneins,1990,46.0934984191,4.85473364691,0
Chanoz-Châtenay,1400,46.1861812234,5.02807719246,-1
Chapelle-du-Châtelard,1240,46.0744536905,5.02162055898,-1
Charix,1130,46.1856344066,5.6811896084,0
Charnoz-sur-Ain,1800,45.8736786869,5.2211032563,-1
Château-Gaillard,1500,45.9730390239,5.30754273532,-1
Châtenay,1320,46.0259402155,5.2048590395,-1
Châtillon-en-Michaille,1200,46.1293337743,5.770176021,0
Châtillon-en-Michaille,1200,46.1293337743,5.770176021,0
Châtillon-en-Michaille,1200,46.1293337743,5.770176021,0
Châtillon-la-Palud,1320,45.9748017433,5.2416027725,0
Châtillon-sur-Chalaronne,1400,46.1232390685,4.95810003714,0
Chavannes-sur-Reyssouze,1190,46.4379785193,5.00693749662,0
Nivigne et Suran,1250,46.2750157946,5.41649423093,1
Chaveyriat,1660,46.1991513767,5.0564069258,1
Chavornay,1510,45.8824049535,5.72499814516,-1
Chazey-Bons,1300,45.7925770617,5.68477063188,0
Chazey-sur-Ain,1150,45.8929448968,5.25528498524,-1
Cheignieu-la-Balme,1510,45.8227204334,5.6050023969,0
Chevillard,1430,46.1103512578,5.58116056005,-1
Chevroux,1190,46.38249255,4.96288275972,0
Chevry,1170,46.283152935,6.04707941462,-1
Chézery-Forens,1200,46.222573373,5.87248105275,0
Chézery-Forens,1410,46.222573373,5.87248105275,0
Civrieux,1390,45.922467454,4.88633786877,1
Cize,1250,46.2003848172,5.45082526739,0
Cleyzieu,1230,45.902146623,5.43272695486,1
Coligny,1270,46.3866637865,5.3308227014,-1
Collonges,1550,46.1419227898,5.90040256654,0
Colomieu,1300,45.7361469025,5.62670101041,1
Conand,1230,45.8834810846,5.47541328981,0
Condamine,1430,46.105831161,5.55568206762,0
Condeissiat,1400,46.1538469834,5.08437171701,1
Confort,1200,46.1543700156,5.83319395258,0
Confrançon,1310,46.270304175,5.05775217893,0
Contrevoz,1300,45.8009403071,5.62087768159,0
Conzieu,1300,45.7253102173,5.60442351043,1
Corbonod,1420,45.9659473187,5.78961970355,0
Corlier,1110,46.0336885573,5.49635755029,0
Cormaranche-en-Bugey,1110,45.9442772826,5.60860828487,-1
Cormoranche-sur-Saône,1290,46.2403530179,4.8276569593,0
Cormoz,1560,46.4336632942,5.22181275755,0
Corveissiat,1250,46.2505107235,5.47152467919,1
Courmangoux,1370,46.3267864521,5.35558241812,0
Courtes,1560,46.4570082032,5.11128546723,0
Crans,1320,45.9663793103,5.19490390871,1
Cras-sur-Reyssouze,1340,46.3130831891,5.17796707174,0
Cressin-Rochefort,1350,45.7826434885,5.76546256637,0
Crottet,1290,46.283072336,4.87747971182,0
Crottet,1750,46.283072336,4.87747971182,0
Crozet,1170,46.2915659686,5.99510417092,0
Cruzilles-lès-Mépillat,1290,46.2220588715,4.8752193513,1
Culoz,1350,45.8559966843,5.78398308932,0
Curciat-Dongalon,1560,46.4885456881,5.16344336837,0
Curtafond,1310,46.273150382,5.1020896267,0
Cuzieu,1300,45.8200002803,5.6765554896,1
Dagneux,1120,45.8531616918,5.07289166803,1
Divonne-les-Bains,1220,46.3756333495,6.1158647611,0
Dommartin,1380,46.33627762,4.99863894,0
Dompierre-sur-Veyle,1240,46.0667883703,5.21665199666,0
Dompierre-sur-Chalaronne,1400,46.1415406621,4.90141714714,0
Domsure,1270,46.4244066427,5.29313479651,0
Dortan,1590,46.3133221173,5.64146584117,1
Douvres,1500,45.984297392,5.37106901673,0
Drom,1250,46.2196603059,5.36799994918,0
Druillat,1160,46.067579544,5.29361666429,1
Échallon,1130,46.2271364137,5.73330448395,0
Échenevex,1170,46.3160845207,6.01926187996,1
Étrez,1340,46.3380891758,5.19286414645,-1
Évosges,1230,45.965147537,5.50283599885,0
Faramans,1800,45.9104942091,5.1249258559,1
Fareins,1480,46.020997974,4.7620080898,0
Farges,1550,46.166230455,5.90019477201,0
Feillens,1570,46.3365833672,4.88507050971,0
Ferney-Voltaire,1210,46.2519789243,6.10826403805,0
Flaxieu,1350,45.8113298005,5.74459048839,1
Foissiat,1340,46.3784759782,5.18483641417,1
Francheleins,1090,46.0735946256,4.81293575559,1
Francheleins,1090,46.0735946256,4.81293575559,1
Francheleins,1090,46.0735946256,4.81293575559,1
Frans,1480,45.9939065077,4.78033196905,1
Garnerans,1140,46.2136224825,4.82843188743,1
Genouilleux,1090,46.1201611728,4.79288195016,1
Béard-Géovreissiat,1460,46.1896733539,5.55139781353,1
Géovreisset,1100,46.2508621615,5.61271973915,0
Germagnat,1250,46.3054983344,5.45012798616,1
Gex,1170,46.3471891747,6.04650555568,1
Giron,1130,46.2227121191,5.78049809256,0
Gorrevod,1190,46.414943437,4.95120595427,0
Grand-Corent,1250,46.207387937,5.43318666027,0
Grièges,1290,46.2633634407,4.84621318847,0
Grilly,1220,46.3318810665,6.11366767978,-1
Groissiat,1100,46.2260039429,5.61095413441,1
Guéreins,1090,46.106624674,4.78159420118,0
Hautecourt-Romanèche,1250,46.1611241927,5.42944457639,0
Hautecourt-Romanèche,1250,46.1611241927,5.42944457639,0
Hauteville-Lompnes,1110,45.9696520061,5.57627261783,0
Hostiaz,1110,45.9061631889,5.54077986031,0
Haut Valromey,1260,46.0317412192,5.70267027388,-1
Haut Valromey,1260,46.0317412192,5.70267027388,-1
Haut Valromey,1260,46.0317412192,5.70267027388,-1
Haut Valromey,1260,46.0317412192,5.70267027388,-1
Illiat,1140,46.1866986838,4.88840344003,1
Injoux-Génissiat,1200,46.0497734524,5.75991363273,1
Injoux-Génissiat,1200,46.0497734524,5.75991363273,1
Innimond,1680,45.7919647191,5.57389398559,0
Izenave,1430,46.0381623415,5.52447901164,0
Izernore,1580,46.2179780137,5.56258251719,0
Izieu,1300,45.6557496407,5.63909140794,1
Jassans-Riottier,1480,45.9777239103,4.75984637871,0
Jasseron,1250,46.2150037064,5.31215372338,0
Jayat,1340,46.3660828991,5.11429701617,1
Journans,1250,46.1464982407,5.33452833151,1
Joyeux,1800,45.9499899849,5.10261326872,1
Jujurieux,1640,46.0497041467,5.41094771899,1
Labalme,1450,46.0932491295,5.49438685213,0
Lagnieu,1150,45.8917015798,5.32917518895,1
Laiz,1290,46.2469919709,4.89933490972,0
Poizat-Lalleyriat,1130,46.1479592076,5.71829194244,1
Poizat-Lalleyriat,1130,46.1479592076,5.71829194244,1
Lancrans,1200,46.1323202721,5.84050985141,1
Lantenay,1430,46.0544405897,5.54127421165,-1
Lapeyrouse,1330,45.9859131165,4.98196682865,0
Lavours,1350,45.8108837933,5.77267317838,0
Léaz,1200,46.1086518044,5.87649017888,0
Lélex,1410,46.2855010936,5.92927713771,1
Lent,1240,46.1160216305,5.20200684747,0
Lescheroux,1560,46.4114892731,5.15107164478,0
Leyment,1150,45.9269989549,5.2947657235,0
Leyssard,1450,46.1624187428,5.47633297491,-1
Lhôpital,1420,46.0238143134,5.76236736492,0
Lhuis,1680,45.7444141403,5.53602066955,0
Lochieu,1260,45.9302479879,5.7413126836,1
Lompnas,1680,45.8105943351,5.52320457866,0
Lompnieu,1260,45.9690865613,5.65968816497,1
Loyettes,1360,45.7921564114,5.21770971647,0
Lurcy,1090,46.061730034,4.78075207026,-1
Magnieu,1300,45.7754050255,5.71540945601,1
Maillat,1430,46.1201642836,5.52854394238,1
Malafretaz,1340,46.3295545661,5.14386299599,0
Mantenay-Montlin,1560,46.4302754511,5.10675899732,0
Manziat,1570,46.3643830585,4.90242777155,1
Marboz,1851,46.3434312497,5.24374534963,0
Marchamp,1680,45.7738495266,5.54985181107,0
Marignieu,1300,45.8010384947,5.71570352924,1
Marlieux,1240,46.0549073186,5.0741150816,1
Marsonnas,1340,46.3409117711,5.06434294764,0
Martignat,1100,46.2030768095,5.61384033805,1
Massieux,1600,45.9094016817,4.82779660051,1
Massignieu-de-Rives,1300,45.7571503942,5.7620535823,0
Matafelon-Granges,1580,46.2565319445,5.53958933702,-1
Matafelon-Granges,1580,46.2565319445,5.53958933702,-1
Meillonnas,1370,46.244997627,5.33594738489,0
Mérignat,1450,46.0648564341,5.44210660051,1
Messimy-sur-Saône,1480,46.0472670758,4.75935643933,0
Meximieux,1800,45.9060530318,5.20404833653,1
Bohas-Meyriat-Rignat,1250,46.1427060662,5.3780109646,1
Bohas-Meyriat-Rignat,1250,46.1427060662,5.3780109646,1
Bohas-Meyriat-Rignat,1250,46.1427060662,5.3780109646,1
Mézériat,1660,46.2423102101,5.04725416984,1
Mijoux,1170,46.3622451724,6.00902631941,0
Mijoux,1410,46.3622451724,6.00902631941,0
Mionnay,1390,45.8955939299,4.92416967439,-1
Miribel,1700,45.8442099203,4.94106746787,0
Miribel,1700,45.8442099203,4.94106746787,0
Miribel,1700,45.8442099203,4.94106746787,0
Misérieux,1600,45.9762325343,4.81028471711,1
Mogneneins,1140,46.1446696076,4.820110702,0
Montagnat,1250,46.1686969123,5.27962107938,1
Montagnieu,1470,45.799449019,5.46428608859,1
Montanges,1200,46.17325293,5.79006091307,-1
Montceaux,1090,46.0962893261,4.80453564172,0
Montcet,1310,46.219333227,5.11149132074,0
Montellier,1800,45.9287482486,5.07092815964,0
Monthieux,1390,45.9622791838,4.94555984534,1
Montluel,1120,45.8909006209,5.01987566185,0
Montluel,1120,45.8909006209,5.01987566185,0
Montluel,1120,45.8909006209,5.01987566185,0
Montmerle-sur-Saône,1090,46.0849573236,4.7608579486,0
Montracol,1310,46.1867200301,5.11706011755,0
Montréal-la-Cluse,1460,46.1795688194,5.59510550127,0
Montrevel-en-Bresse,1340,46.3252811442,5.11295966315,0
Nurieux-Volognat,1460,46.1830720992,5.51435812316,1
Nurieux-Volognat,1460,46.1830720992,5.51435812316,1
Murs-et-Gélignieux,1300,45.6420014274,5.66039684889,1
Nantua,1130,46.1537845403,5.61352793799,1
Nantua,1460,46.1537845403,5.61352793799,1
Neuville-les-Dames,1400,46.1567753049,5.00942432434,0
Neuville-sur-Ain,1160,46.0909654813,5.37349784691,-1
Neyrolles,1130,46.1342937114,5.63714517869,1
Neyron,1700,45.8184192468,4.9309045685,0
Niévroz,1120,45.8222941077,5.05949629195,0
Nivollet-Montgriffon,1230,45.9999448244,5.45847815374,0
Oncieu,1230,45.9651165469,5.47146617499,1
Ordonnaz,1510,45.8339690378,5.5395794296,0
Ornex,1210,46.2774557513,6.09454723599,1
Outriaz,1430,46.067796636,5.55697547429,0
Oyonnax,1100,46.2605435859,5.65344320923,0
Oyonnax,1100,46.2605435859,5.65344320923,0
Oyonnax,1100,46.2605435859,5.65344320923,0
Ozan,1190,46.3867168877,4.91805840196,1
Parcieux,1600,45.9184267932,4.82747423402,1
Parves et Nattages,1300,45.7437340183,5.73800737134,0
Parves et Nattages,1300,45.7437340183,5.73800737134,0
Péron,1630,46.1913554154,5.91968751164,0
Péronnas,1960,46.1711903413,5.21802169564,0
Pérouges,1800,45.8803945768,5.17955874977,0
Perrex,1540,46.2465065604,4.97464940331,1
Peyriat,1430,46.1498184067,5.50572312284,1
Peyrieu,1300,45.6762428663,5.67912809192,1
Peyzieux-sur-Saône,1140,46.1226331853,4.82243226719,0
Pirajoux,1270,46.385801285,5.27417594024,0
Pizay,1120,45.8928509581,5.08915465965,-1
Plagne,1130,46.1883038423,5.71763811249,0
Plantay,1330,46.0230264227,5.08912046926,-1
Polliat,1310,46.2463108642,5.13794412439,1
Pollieu,1350,45.7965373468,5.74794515549,1
Poncin,1450,46.089530586,5.41681266947,0
Pont-d'Ain,1160,46.0542077091,5.34703652618,-1
Pont-de-Vaux,1190,46.4422864477,4.92862459427,0
Pont-de-Veyle,1290,46.2637215091,4.88186068102,0
Port,1460,46.155963139,5.57615832883,0
Pougny,1550,46.1450914685,5.95100479291,-1
Pouillat,1250,46.3219301481,5.42318000482,1
Prémeyzel,1300,45.6806263123,5.64396081449,0
Prémillieu,1110,45.876457149,5.56475010385,1
Prévessin-Moëns,1280,46.25827228,6.07223251859,0
Prévessin-Moëns,1280,46.25827228,6.07223251859,0
Priay,1160,46.0197521486,5.28523353803,-1
Pugieu,1510,45.8176794806,5.64970405499,1
Ramasse,1250,46.1905550894,5.35572056985,0
Rancé,1390,45.9673905154,4.86343025951,-1
Relevant,1990,46.0843657897,4.94176845356,0
Replonges,1750,46.3077356023,4.8746938271,0
Revonnas,1250,46.1615355815,5.33543916388,0
Reyrieux,1600,45.9367652442,4.82840395968,1
Reyssouze,1190,46.4285569061,4.91285056272,0
Rignieux-le-Franc,1800,45.9518762734,5.16936671105,0
Romans,1400,46.1237520756,5.0217131176,1
Rossillon,1510,45.8363854589,5.59926863007,0
Ruffieu,1260,46.0037108867,5.65322391497,1
Saint-Alban,1450,46.0983335519,5.45573839846,1
Saint-André-de-Bâgé,1380,46.298541568,4.91411565769,-1
Saint-André-de-Corcy,1390,45.927001954,4.95373324492,-1
Saint-André-d'Huiriat,1290,46.2140960915,4.91291358797,1
Saint-André-le-Bouchoux,1240,46.1131399612,5.0802376895,0
Saint-André-sur-Vieux-Jonc,1960,46.1492410532,5.14175200148,0
Saint-Bénigne,1190,46.4519173207,4.95309825903,0
Groslée-Saint-Benoit,1300,45.6891842277,5.5843972561,0
Groslée-Saint-Benoit,1680,45.6891842277,5.5843972561,0
Saint-Bernard,1600,45.9493830581,4.74276628471,-1
Saint-Champ,1300,45.7825741014,5.7326531461,0
Sainte-Croix,1120,45.895522477,5.04935536228,0
Saint-Cyr-sur-Menthon,1380,46.2754005606,4.96757105158,0
Saint-Denis-lès-Bourg,1000,46.2111998453,5.18462806771,-1
Saint-Denis-en-Bugey,1500,45.9488551151,5.32367701698,-1
Saint-Didier-d'Aussiat,1340,46.3069992095,5.05820697692,1
Saint-Didier-de-Formans,1600,45.9564926067,4.77766764875,1
Saint-Didier-sur-Chalaronne,1140,46.1840408682,4.81645666173,0
Saint-Éloi,1800,45.9322494861,5.15187041178,0
Saint-Étienne-du-Bois,1370,46.2749447261,5.28428557632,0
Saint-Étienne-sur-Chalaronne,1140,46.1468059584,4.86696454244,0
Saint-Étienne-sur-Reyssouze,1190,46.4030398952,5.00605581573,0
Sainte-Euphémie,1600,45.9669798317,4.79478189169,-1
Saint-Genis-Pouilly,1630,46.254539333,6.0362907345,-1
Saint-Genis-sur-Menthon,1380,46.2815955593,5.01311826405,0
Saint-Georges-sur-Renon,1400,46.1037951263,5.03001967494,0
Saint-Germain-de-Joux,1130,46.1821955394,5.74672259773,0
Saint-Germain-les-Paroisses,1300,45.7709749249,5.61753440834,0
Saint-Germain-sur-Renon,1240,46.0797285417,5.06090903982,0
Saint-Jean-de-Gonville,1630,46.2178585727,5.94203093769,-1
Saint-Jean-de-Niost,1800,45.8405002569,5.21167430462,0
Saint-Jean-de-Thurigneux,1390,45.9598424323,4.89936410681,1
Saint-Jean-le-Vieux,1640,46.0291437714,5.38252835538,1
Saint-Jean-sur-Reyssouze,1560,46.3972479854,5.06297763777,0
Saint-Jean-sur-Veyle,1290,46.2683632132,4.92198366998,0
Sainte-Julie,1150,45.8819723176,5.28452304614,-1
Saint-Julien-sur-Reyssouze,1560,46.3997655501,5.10354296019,0
Saint-Julien-sur-Veyle,1540,46.2014862081,4.959356342,0
Saint-Just,1250,46.1929758576,5.28494181398,0
Saint-Laurent-sur-Saône,1750,46.3051486294,4.83949202669,0
Saint-Marcel,1390,45.9485803654,4.9896671017,0
Saint-Martin-de-Bavel,1510,45.848212674,5.67889099153,0
Saint-Martin-du-Frêne,1430,46.135983782,5.57106016428,0
Saint-Martin-du-Mont,1160,46.1061500835,5.32551470817,1
Saint-Martin-le-Châtel,1310,46.291445874,5.12291715091,0
Saint-Maurice-de-Beynost,1700,45.8343709108,4.97726215174,0
Saint-Maurice-de-Gourdans,1800,45.8200191939,5.16980415584,1
Saint-Maurice-de-Rémens,1500,45.9527471237,5.2708276475,0
Saint-Nizier-le-Bouchoux,1560,46.4528537121,5.1759906585,0
Saint-Nizier-le-Désert,1320,46.052861561,5.14246131764,0
Sainte-Olive,1330,46.0142006121,4.93624894982,0
Saint-Paul-de-Varax,1240,46.0956691617,5.12762470203,0
Saint-Rambert-en-Bugey,1230,45.9504631708,5.44017084612,-1
Saint-Rémy,1310,46.1846642149,5.16771354778,-1
Saint-Sorlin-en-Bugey,1150,45.886308438,5.37608915006,-1
Saint-Sulpice,1340,46.3209806116,5.04148389346,0
Saint-Trivier-de-Courtes,1560,46.4612969335,5.06679195727,0
Saint-Trivier-sur-Moignans,1990,46.0618477991,4.90158948884,1
Saint-Vulbas,1150,45.8222315102,5.27019602929,0
Salavre,1270,46.3635396668,5.34742387197,0
Samognat,1580,46.2648715781,5.58607689306,1
Sandrans,1400,46.0656961548,4.98282673172,1
Sault-Brénaz,1150,45.8654038798,5.40416104083,0
Sauverny,1220,46.3126908233,6.11043836433,-1
Savigneux,1480,45.997346828,4.8576200906,1
Ségny,1170,46.2935928404,6.07287743792,-1
Seillonnaz,1470,45.7976976614,5.49810658524,0
Sergy,1630,46.2626243003,5.98914553194,-1
Sermoyer,1190,46.4981991944,4.97856020441,0
Serrières-de-Briord,1470,45.8133219416,5.44125880379,0
Serrières-sur-Ain,1450,46.1466977757,5.45023362942,-1
Servas,1960,46.1385540577,5.17887070992,0
Servignat,1560,46.4346497878,5.05559973107,1
Seyssel,1420,45.9484118176,5.82616979887,0
Simandre-sur-Suran,1250,46.2340471594,5.42240815305,1
Sonthonnax-la-Montagne,1580,46.2229768712,5.50566888767,0
Sonthonnax-la-Montagne,1580,46.2229768712,5.50566888767,0
Souclin,1150,45.8781798572,5.43058627512,0
Sulignat,1400,46.1735383313,4.95772382526,1
Surjoux,1420,46.030402108,5.79957920623,0
Sutrieu,1260,45.9311367808,5.64988248129,1
Sutrieu,1260,45.9311367808,5.64988248129,1
Sutrieu,1260,45.9311367808,5.64988248129,1
Talissieu,1510,45.8637167128,5.72090411074,1
Tenay,1230,45.922698278,5.51453923595,-1
Thézillieu,1110,45.8931883593,5.59700638944,1
Thil,1120,45.8169214201,5.0184098869,0
Thoiry,1710,46.2435475879,5.96506297987,-1
Thoissey,1140,46.1700943481,4.79387095814,-1
Torcieu,1230,45.92125055,5.40400282244,1
Tossiat,1250,46.1384790158,5.30400055922,1
Toussieux,1600,45.959898291,4.82898610612,1
Tramoyes,1390,45.8745670311,4.9639268325,0
Tranclière,1160,46.0970027075,5.26099875456,0
Val-Revermont,1370,46.2803281838,5.36083165162,1
Val-Revermont,1370,46.2803281838,5.36083165162,1
Val-Revermont,1370,46.2803281838,5.36083165162,1
Trévoux,1600,45.940671655,4.7714415007,0
Valeins,1140,46.1146467438,4.86551696868,0
Vandeins,1660,46.217806795,5.08189056957,0
Varambon,1160,46.0433928197,5.2947944594,0
Vaux-en-Bugey,1150,45.9201205456,5.36353184193,-1
Verjon,1270,46.3459093717,5.34853019646,0
Vernoux,1560,46.4848229774,5.10590413121,0
Versailleux,1330,45.9854373478,5.11204819151,1
Versonnex,1210,46.2997631425,6.10057952207,1
Vesancy,1170,46.3610768127,6.08470665475,-1
Vescours,1560,46.4743960759,5.02617426573,0
Vésines,1570,46.3593397751,4.86265852202,0
Vieu-d'Izenave,1430,46.0853386653,5.54922100161,0
Vieu,1260,45.8898392612,5.68999399947,1
Villars-les-Dombes,1330,45.9927150222,5.04507856642,0
Villebois,1150,45.8485624628,5.44711117486,1
Villemotier,1270,46.3458538978,5.31036160991,1
Villeneuve,1480,46.0319048788,4.85182526102,1
Villereversure,1250,46.1926750369,5.3947679407,1
Villes,1200,46.0954293058,5.7569250415,1
Villette-sur-Ain,1320,46.0099989032,5.25214547187,1
Villieu-Loyes-Mollon,1800,45.932014998,5.22953071636,0
Villieu-Loyes-Mollon,1800,45.932014998,5.22953071636,0
Villieu-Loyes-Mollon,1800,45.932014998,5.22953071636,0
Viriat,1440,46.2508985632,5.22302249216,1
Virieu-le-Grand,1510,45.8464417872,5.63971940347,0
Virieu-le-Petit,1260,45.9063608209,5.73707051523,0
Virignin,1300,45.7267387762,5.71282330936,0
Vongnes,1350,45.8129059524,5.72536666767,0
Vonnas,1540,46.2168871367,4.99744373712,0
Abbécourt,2300,49.5991518653,3.17708232927,0
Achery,2800,49.6936187791,3.39735632148,-1
Acy,2200,49.3471963534,3.41817609834,-1
Agnicourt-et-Séchelles,2340,49.7166573626,3.96043211816,1
Aguilcourt,2190,49.393650796,3.96803679426,0
Aisonville-et-Bernoville,2110,49.930148162,3.51120205593,-1
Aizelles,2820,49.4848002918,3.81870255331,1
Aizy-Jouy,2370,49.4384256824,3.51149185429,-1
Aizy-Jouy,2370,49.4384256824,3.51149185429,-1
Alaincourt,2240,49.7667120841,3.36639043616,0
Allemant,2320,49.4624440593,3.45394275872,0
Ambleny,2290,49.3762672939,3.18334679178,-1
Ambrief,2200,49.3215250088,3.40362196255,0
Amifontaine,2190,49.498787026,3.92278993322,0
Amigny-Rouy,2700,49.6108275885,3.30289341579,-1
Ancienville,2600,49.2186389559,3.20808809779,-1
Andelain,2800,49.6411808161,3.3695440898,-1
Anguilcourt-le-Sart,2800,49.6940879195,3.42823182437,1
Anizy-le-Château,2320,49.5045058305,3.43129584952,0
Annois,2480,49.7210674108,3.17611501401,0
Any-Martin-Rieux,2500,49.8823706752,4.22351346907,1
Archon,2360,49.744126618,4.11908765808,0
Arcy-Sainte-Restitue,2130,49.2548799371,3.47829076337,0
Arcy-Sainte-Restitue,2130,49.2548799371,3.47829076337,0
Armentières-sur-Ourcq,2210,49.1734232511,3.38789647903,0
Arrancy,2860,49.4989016398,3.7647230005,-1
Artemps,2480,49.7617999337,3.19725095546,0
Assis-sur-Serre,2270,49.6803739117,3.55491692691,0
Athies-sous-Laon,2840,49.5757750686,3.69006632109,0
Attilly,2490,49.8554489068,3.15363305662,-1
Aubencheul-aux-Bois,2420,50.0239903854,3.26103215604,0
Aubenton,2500,49.8252306759,4.19066939985,0
Aubigny-aux-Kaisnes,2590,49.7721524634,3.1192565988,0
Aubigny-en-Laonnois,2820,49.4968821185,3.79282850765,0
Audignicourt,2300,49.4777157214,3.12718502825,0
Audigny,2120,49.8660645425,3.6312599901,-1
Augy,2220,49.340063724,3.5110198819,-1
Aulnois-sous-Laon,2000,49.6198117499,3.60981962105,0
Autels,2360,49.7608855336,4.22422505762,0
Autremencourt,2250,49.7051244442,3.79419867292,0
Autreppes,2580,49.8969849321,3.85601033505,0
Autreville,2300,49.5860875305,3.23602708427,-1
Azy-sur-Marne,2400,49.0039701095,3.35913214045,0
Bagneux,2290,49.4601139731,3.27945330014,1
Bancigny,2140,49.7978711595,4.03669866073,-1
Barenton-Bugny,2000,49.6218589779,3.66103056579,-1
Barenton-Cel,2000,49.6477517259,3.64469997459,0
Barenton-sur-Serre,2270,49.66833977,3.68940610952,0
Barisis-aux-Bois,2700,49.577979369,3.32804487461,0
Barzy-en-Thiérache,2170,50.0395375873,3.74901595409,0
Barzy-sur-Marne,2850,49.0906196202,3.56214117254,0
Bassoles-Aulers,2380,49.5332813699,3.38492604839,-1
Vallées en Champagne,2330,48.9896915811,3.60486686026,0
